P,PET,Tmax,Tmin,R
15.71,0.6452,4.9722,-6.6389,0.856
0.73,0.7941,3.75,-7.9,0.852
43.59,1.034,2.5833,-5.9222,0.849
12.68,5.0458,11.9667,-0.9,0.846
0,8.6027,9.6167,-3.95,0.844
0,3.5486,8.8556,-6.8444,0.842
0.2,1.8033,12.3333,-3.8444,0.84
0.84,1.3855,11.4444,-0.8889,0.839
2.65,1.2201,11.4056,2.15,0.838
0.17,1.1374,6.1333,-5.5167,0.838
0.02,1.034,3.9167,-10.1778,0.838
0.05,0.9306,7.55,-3.5111,0.839
0.49,0.8892,13.8778,3.2889,0.84
0.25,0.8685,17.3778,4.7722,0.842
0.01,0.852,21.8,7.6778,0.84
0,0.8355,23.4167,7.5889,0.849
0.67,0.8148,18.7222,5.5333,0.852
2.46,0.7776,8.8056,0.8889,0.856
1.28,0.7941,11.2722,1.0056,0.86
0.44,0.7776,6.7722,-0.8889,0.865
0.01,0.7776,6.3444,-3.85,0.87
0.28,0.7403,7.6056,-2.8944,0.875
22.7,0.761,13.6778,1.9111,0.881
7.61,2.1259,12.2944,-1.0111,0.888
0,2.0556,9.6722,-4.4333,0.894
0.01,1.4269,9.75,-0.2,0.902
0.01,1.096,14.7778,1.1111,0.909
0.14,0.9513,18.0444,8.3667,0.917
0.13,0.9099,20.3944,9.3056,0.926
0,0.852,20.2556,4.5778,0.935
0.49,0.8148,16.4667,2.3722,0.944
0.38,0.7776,15.8444,6.2222,0.954
0.01,0.7403,13.0333,0.55,0.964
1.43,0.7403,16.2722,4.2278,0.974
0.07,0.7197,12.15,-1.1833,0.985
13.15,0.7197,8.5556,-0.8111,0.997
0,0.8355,9.0222,-0.9111,1.008
0,0.8355,6.6889,-6.7611,1.021
1.12,0.761,8.2,-2.1556,1.033
3.97,0.7403,14.8056,2.6611,1.046
11.27,0.7776,17.9111,10.0667,1.059
25.39,1.6916,15.2222,4.0167,1.073
0.28,3.7058,5.3333,-5.9722,1.087
0.03,2.3906,0.4,-12.3333,1.101
0,1.5096,7.6667,-10.1389,1.116
0.14,1.2201,14.6944,-4.2111,1.131
3.74,1.0547,15.3056,0.9444,1.147
44.85,1.6047,12.9222,5.8833,1.163
5.48,6.7002,15.1056,6.5278,1.179
0.18,6.0798,11.7944,1.9667,1.196
0.02,2.738,9.7444,-4.2222,1.212
0.02,1.8818,8.7889,-1.8611,1.23
0,1.551,13.3944,-3.55,1.247
0,1.3855,13.8889,0.6278,1.265
0,1.2201,17.1611,0.3278,1.283
0.64,1.1374,16.3389,4.45,1.302
0.05,1.034,15.1278,-1.35,1.321
0.25,0.9719,15.4556,2.8833,1.34
8.17,0.9719,13.5278,2.4444,1.359
1.49,1.034,7.2833,0.1056,1.379
8.11,0.9719,4.6944,-0.0778,1.399
1.11,1.096,9.05,-0.2222,1.419
0,1.1374,11.8667,-2.2,1.44
0.02,1.0133,15.9444,-3.1611,1.461
0.21,0.9513,14.1667,-1.1944,1.482
0.02,0.9099,12.9,0.4778,1.503
0.2,0.8892,11.1167,-2.5222,1.525
3.3,0.852,9.3,0.1222,1.546
3.88,0.8685,6.7889,-0.4611,1.569
0.78,0.9099,9.1778,-2.7111,1.591
4.82,0.9099,7.6111,-1.9611,1.613
0.34,0.8892,9.8444,-3.5389,1.636
0.94,0.9306,14.9667,-0.9556,1.659
12.7,0.8892,18.5667,2.9167,1.682
0.52,1.1787,15.3611,2.2778,1.705
1.45,1.3028,6.5833,-2.7444,1.729
33.83,1.3028,5.9167,0.3333,1.753
3.59,5.9557,11.45,1.7222,1.777
0,4.8804,12.6778,-2.4444,1.801
0,2.192,12.8278,-3.75,1.825
0,1.6337,10.6667,-4.5722,1.849
0,1.3442,11.7333,-6.3056,1.874
0.32,1.1787,15.4056,-3.1222,1.898
36.15,1.096,15.3556,1.2833,1.923
20.3,4.7563,15.9111,6.4944,1.948
0.02,9.3472,16.3556,-0.0833,1.973
0.14,5.5008,20.3889,3.3944,1.998
0.01,2.3906,17.7722,3.8167,2.023
2.69,1.8818,9.4444,-1.1444,2.049
0.02,1.675,5.55,-2.7111,2.074
0.05,1.5096,12.8056,-2.6778,2.1
14.04,1.3855,12.5778,0.9389,2.125
14.14,2.2334,18.0611,2.9444,2.151
0,3.4907,24.8667,2.2722,2.176
0.21,2.0556,24.7444,5.2722,2.202
14.79,1.7578,22.3056,11.8722,2.228
32.22,2.829,20.65,11.8222,2.254
15.01,8.8095,16.0167,2.6944,2.28
0.02,10.0089,13.3333,-2.2556,2.306
0,4.1277,17.2944,1.4056,2.331
0,2.5891,19.0167,0.9278,2.357
0.05,2.101,16.35,1.2389,2.383
0,1.7164,17.8222,-1.8944,2.409
0.04,1.675,19.5556,1.2667,2.435
2.73,1.551,17.2056,6.0111,2.461
5.08,1.5096,17.8556,9.8,2.486
0.09,1.551,18.9556,7.5556,2.512
0,1.4683,18.8556,2.3333,2.538
1.34,1.3442,19.3056,5.2556,2.564
1.75,1.2615,17.5111,6.2222,2.589
0.01,1.3028,10.7556,0.7611,2.615
0,1.3028,14.6278,0.8667,2.64
0,1.2201,18.9111,-0.9389,2.665
0.01,1.1787,19.3833,0.7722,2.691
0.08,1.1374,22.4944,2.6,2.716
0.05,1.1374,25.5278,8.3667,2.741
0.21,1.096,23.3167,8.7111,2.766
22.39,1.1374,21.3722,11.8056,2.79
2.69,2.101,20.0722,7.8722,2.815
0.03,3.3211,12.9556,3.8667,2.84
0.02,1.7164,15.7389,3.45,2.864
0,1.4269,21.9611,3.4667,2.888
0,1.3028,24.7333,4.6,2.912
0.02,1.2201,27.0611,7.0278,2.936
0.01,1.1787,28.8611,8.3167,2.96
0.03,1.1374,29.6556,9.7111,2.983
0.01,1.1374,30.1333,10.1333,3.007
0.65,1.0547,29.1889,11.7944,3.03
26.74,1.034,24.9111,11.4889,3.053
19.15,1.8653,17.2167,10.0222,3.076
13.8,3.3832,15.7278,10.2778,3.098
10.44,3.772,16.0778,9.2222,3.12
3.22,3.652,20.7222,10.5222,3.143
0.17,2.8455,21.4333,9.1278,3.164
0.02,2.0101,26.1778,8.7,3.186
0.02,1.675,28.1278,10.0944,3.207
0.67,1.5096,29.2611,8.7611,3.228
0.04,1.3855,27.4944,10.9611,3.249
0,1.2615,27.4333,7.5111,3.27
0.02,1.1787,30.5889,12.2389,3.29
0.04,1.1374,30.4333,12.5,3.31
0.01,1.096,29.6556,11.6722,3.33
1.8,1.034,28.6944,9.5167,3.349
7.51,1.096,28.1278,12.9833,3.369
10.59,1.2201,26.7389,12.4222,3.387
11.93,1.7164,21.8167,10.85,3.406
0.37,2.2417,16.6944,4.3167,3.424
0.08,1.4683,17.3667,5.7222,3.442
0,1.1787,22.5167,4.8944,3.46
0.79,1.0547,27.3778,10.6222,3.477
0.01,1.034,29.7722,13.6611,3.494
0.2,0.9719,29.1833,12.9722,3.511
13.78,0.9306,29.1333,13.6333,3.527
4.14,1.3028,23.2889,12.4833,3.543
4.46,1.3855,21.25,12,3.558
0.03,1.2615,24.0056,11.8778,3.573
0,1.096,26.7167,9.3778,3.588
0.2,0.9926,29.05,11.8278,3.603
18.47,0.9306,27.1111,15.3944,3.617
5.59,2.6056,26.0333,16.1,3.63
0.45,1.8818,25.3444,13.7056,3.644
0.77,1.4269,26.2722,10.1278,3.657
0.14,1.096,28.3833,11.4556,3.669
4.69,0.9719,25.2111,13.6444,3.682
5.03,0.9719,20.2944,14.0556,3.693
0.06,1.034,24.7889,14.2222,3.705
1.08,0.9926,28.2833,13.7667,3.716
1.55,0.9306,27.1556,13.8556,3.726
1.23,0.8892,29.1611,14.7833,3.736
0.9,0.8892,30.9667,15.3222,3.746
0.2,1.096,32.0833,16.9056,3.756
0.33,0.8892,32.8611,17.6944,3.765
0.07,0.7776,33.0722,18.4222,3.773
2.47,0.8148,33.5833,19.3889,3.781
4.58,0.7941,33.6722,19.0444,3.789
1.39,0.7941,30.7167,17.2833,3.796
0.57,0.7941,30.3333,18.1222,3.803
5.55,0.761,27.0278,14.6278,3.809
0.84,0.761,28.5667,15.3556,3.815
12.28,0.7776,29.9944,19.1167,3.821
4.34,0.8355,32.1667,19.9556,3.826
0.93,1.0547,32.5222,19.3167,3.831
12.97,0.9513,32.8667,19.6,3.835
0.12,1.4517,32.4722,19.2333,3.839
0.01,1.0547,33.75,15.1944,3.842
4.99,0.7941,33.0944,16.35,3.845
3.65,0.7197,32.0222,18.1278,3.847
1.28,0.9926,33.0167,19.3556,3.849
1.85,0.8148,33.2778,19.9833,3.851
0.08,0.7403,34.6944,19.5611,3.852
0.01,0.6866,36.0444,20.7389,3.853
0.02,0.6287,36.7722,20.9056,3.853
0.12,0.6121,36.8722,21.8111,3.853
2.77,0.5583,36,22.6444,3.852
3.62,0.5583,34.8944,20.5889,3.851
3.96,0.7403,33.1944,20.1778,3.849
0.67,0.6452,28.8611,15.9833,3.847
0,0.6287,28.4667,13.5611,3.845
0,0.5914,30.7833,13.5611,3.842
0.44,0.5418,32.85,15.9944,3.839
7.57,0.5253,31.8111,16.9056,3.835
1.19,0.5583,30.2611,15.4111,3.831
6.18,0.7031,28.5389,17.9667,3.826
3.81,0.6287,29.9111,19.0667,3.821
4.28,0.6452,29.3389,18.1611,3.816
0.08,0.6452,27.8389,11.5611,3.81
0.09,0.6121,29.3556,12.7278,3.803
0.16,0.5583,31.3556,15.5444,3.797
0.27,0.5087,32.3833,16.4778,3.789
4.73,0.5087,32.5556,16.8722,3.782
6.32,0.6287,32.0444,17.8278,3.774
3.51,0.7941,31.8,19.1944,3.765
2.84,0.9719,32.2444,19.2389,3.756
3.06,0.7776,33.4333,19.9944,3.747
0.31,0.6287,33.8722,20.7333,3.737
0.4,0.6121,35.2833,20.9778,3.727
0.02,0.5583,35.7222,20.6222,3.717
0.33,0.4756,37.0722,20.9778,3.706
1.41,0.4425,36.8556,21.25,3.694
0.13,0.4591,35.3833,19.0333,3.683
0.07,0.4074,31.7,19.4056,3.67
7.29,0.488,32.8,19.7833,3.658
0.42,0.7197,36.5722,18.6056,3.645
0.22,0.5418,38.6389,19.6167,3.632
2.3,0.426,38.45,20.4556,3.618
13.6,0.4591,35.45,18.9389,3.604
9.11,0.6204,31.3722,18.4611,3.59
11.62,1.0133,28.7,18.3389,3.575
4.67,0.852,28.7222,17.8111,3.56
0.56,1.5841,30.9389,16.8222,3.544
5.97,1.096,31.4056,18.1167,3.528
20.57,0.7031,31.5667,19.3944,3.512
14.42,0.9182,28.7389,18.8944,3.495
11.09,2.192,27.0944,18.1,3.479
5.68,1.551,28.4056,18.9889,3.461
4.6,1.3028,28.8056,19.2333,3.444
1.35,1.2615,30.5222,18.6778,3.426
0.37,1.1787,31.2944,16.2444,3.408
0.53,0.7776,31.4167,18.7389,3.389
0.74,0.6452,31.8722,20.8889,3.37
2.82,0.5914,31.4667,18.5944,3.351
4.21,0.6287,32.0111,18.6222,3.332
7.09,0.6452,32.4222,19.3444,3.312
0.1,0.7776,32.0333,18.0722,3.292
0.01,0.7403,32.8556,16.7444,3.272
17.57,0.6287,30.1444,17.9611,3.251
7.72,1.1126,30.6944,17.9667,3.23
5.49,2.0969,30.8167,18.4,3.209
3.47,1.9811,28.8056,19.4222,3.188
2.3,1.3028,24.4167,14.9278,3.166
0.25,0.8685,24.8611,13.1222,3.145
0,0.7403,26.5389,9.1667,3.122
0.18,0.6452,26.7111,9.8,3.1
5.44,0.5749,26.6167,10.7222,3.078
22.71,0.6287,24.35,14.15,3.055
4.57,0.761,25.9222,15.7222,3.032
4.1,0.9719,28.0111,18.0444,3.009
34.63,1.096,26.1111,19.7833,2.986
0.4,3.681,30.3444,18.5056,2.962
2.9,1.7123,29.7,17.7556,2.938
0,1.0547,25.5667,12.4167,2.914
0,0.9513,24.1333,8.6333,2.89
0,0.761,24.6278,9.5056,2.866
0.04,0.6659,27.7611,10.4444,2.842
0.53,0.6452,29.2722,11.9722,2.817
1.28,0.6121,24.5333,15.0667,2.793
0.01,0.5749,23.5778,12.3611,2.768
0.01,0.5749,25.8111,10.3833,2.743
